13:57:58.777 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/marquee.html: null
13:58:08.834 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/petsounds.html: null
13:58:09.172 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/freakout.html: null
13:58:10.736 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/blonde.html: null
13:58:11.011 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/kickout.html: null
13:58:29.854 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/popmuzik/hjaltalin.htm: null
13:58:56.345 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/dreamsyndicate_themedicine.htm: null
13:59:13.480 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/caravan_land.htm: null
13:59:22.669 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/popmuzik/japananddavidsylvian.htm: null
13:59:33.796 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/third.html: null
13:59:38.282 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/aavv_no.htm: null
13:59:39.589 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/altrisuoni/lorennerell.htm: null
14:00:01.053 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/songwriter/midgeure.htm: null
14:00:12.366 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2013_justintimberlake_the2020experience.htm: null
14:00:16.337 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2013_mia_matangi.htm: null
14:00:24.903 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2015_theweeknd_beautybehindthemadness.htm: null
14:01:17.494 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/beatles_sgtpeppers.htm: null
14:02:02.297 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/elettronica/tarwater.htm: null
14:02:53.595 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/bowie_therise.htm: null
14:02:54.920 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/pinkfloyd_dark.htm: null
14:03:06.066 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/jeffersonairplane_bathing.htm: null
14:03:32.178 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2014_lucius_wildewoman.htm: null
14:03:44.983 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2013_kozeleklavalle_perilsfromthesea.htm: null
14:03:46.365 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2014_pinkmountaintops_getback.htm: null
14:03:48.771 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2013_ofmontreal_lousywithsylvianbriar.htm: null
14:03:51.432 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2014_minus5_scottthehoople.htm: null
14:03:54.280 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2015_royalheadache_high.htm: null
14:04:06.483 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2013_futurebibleheroes_partygoing.htm: null
14:04:08.639 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2013_tullycraft_lostinlightrotation.htm: null
14:04:10.062 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2015_ezrafurman_perpetualmotionpeople.htm: null
14:04:21.038 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2014_gruffrhys_americaninterior.htm: null
14:05:09.435 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/italia/paolobenvegnu.htm: null
14:05:12.039 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/recensioni/2003_cousteau.htm: null
14:05:27.198 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/sergiocaputo_unsabatoitaliano.htm: null
14:05:43.307 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/songwriter/courtneylove.htm: null
14:06:24.391 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/popmuzik/garynuman.htm: null
14:06:55.385 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/recensioni/2006_nadler.htm: null
14:07:15.888 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/italia/giorgiocanali.htm: null
14:07:18.059 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/deandre_creuza.htm: null
14:07:18.245 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/elettronica/matmos.htm: null
14:07:25.503 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/dark/derblutharsch.htm: null
14:07:26.299 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/recensioni/2011_projektpitchfork.htm: null
14:07:28.358 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/recensioni/2003_inthebeginning.htm: null
14:07:49.025 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/rockedintorni/darkness.htm: null
14:08:04.793 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/popmuzik/massive.htm: null
14:08:27.116 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/dark/atriumanimae.htm: null
14:09:11.361 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/italia/giannimaroccolo.htm: null
14:10:06.881 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/litfiba_desaparecido.htm: null
14:10:08.124 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/songwriter/danielohnston.htm: null
14:10:13.443 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/jonhassell_vernal.htm: null
14:10:55.473 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/recensioni/2002_royksopp.htm: null
14:11:06.215 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/recensioni/2005_silver.htm: null
14:11:09.604 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/songwriter/johnparish.htm: null
14:11:30.051 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/recensioni/2001_cave.htm: null
14:11:40.759 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/rockedintorni/sigurros2.htm: null
14:12:24.927 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/timbuckley_starsailor.htm: null
14:12:56.222 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/beachboys_petsounds.htm: null
14:13:03.238 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/italia/marcoparente.htm: null
14:13:11.604 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/altrisuoni/robertposs.htm: null
14:13:19.761 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/songwriter/kakiking.htm: null
14:13:22.890 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/songwriter/bowie.htm: null
